时间,收盘价,最高价,最低价,开盘价
2017/11/13,3447.8358,3449.1638,3435.0849,3435.1839
2017/11/10,3432.6731,3438.7924,3414.3286,3423.1846
2017/11/9,3427.7946,3428.7704,3408.6186,3410.6723
2017/11/8,3415.4602,3434.4918,3404.8811,3409.1474
2017/11/7,3413.5748,3415.1482,3387.9459,3389.4721
2017/11/6,3388.1742,3389.3826,3356.5337,3369.685
2017/11/3,3371.7441,3380.57,3347.3603,3377.7356
2017/11/2,3383.3095,3391.652,3372.2131,3391.652
2017/11/1,3395.9125,3410.3519,3388.5978,3393.9678
2017/10/31,3393.3417,3397.0988,3376.1238,3380.999
2017/10/30,3390.3371,3419.7315,3357.2762,3413.8679
2017/10/27,3416.8124,3421.1026,3402.1141,3404.4978
2017/10/26,3407.5671,3414.2415,3391.4549,3397.519
2017/10/25,3396.8975,3398.3041,3382.0338,3384.8579
2017/10/24,3388.2477,3388.6886,3374.1246,3376.5989
2017/10/23,3380.699,3385.2853,3374.705,3382.28
2017/10/20,3378.6481,3379.7652,3360.1001,3363.5138
2017/10/19,3370.1721,3378.7359,3359.6284,3374.6444
2017/10/18,3381.7937,3383.2323,3371.9249,3373.5281
2017/10/17,3372.0407,3382.4072,3365.5646,3373.2342
2017/10/16,3378.4704,3400.5113,3374.7687,3393.2055
2017/10/13,3390.5233,3395.7484,3383.2392,3384.4883
2017/10/12,3386.1,3390.2036,3372.5331,3385.5329
2017/10/11,3388.2838,3395.7794,3379.1634,3381.488
2017/10/10,3382.9879,3384.0262,3358.7953,3373.3446
2017/10/9,3374.3781,3410.1704,3366.965,3403.2458
2017/9/29,3348.9431,3357.0154,3340.3109,3340.3109
2017/9/28,3339.6421,3344.6005,3336.1784,3343.8446
2017/9/27,3345.2717,3349.6949,3340.2989,3340.8219
2017/9/26,3343.5826,3347.1629,3332.5985,3336.3497
2017/9/25,3341.5487,3350.9612,3334.9438,3344.5886
2017/9/22,3352.5294,3356.4514,3334.9846,3347.1569
2017/9/21,3357.8123,3377.8844,3356.8754,3364.6977
2017/9/20,3365.9959,3370.0978,3346.5356,3352.1848
2017/9/19,3356.8446,3370.4009,3344.7054,3365.5315
2017/9/18,3362.8587,3371.7486,3352.5134,3352.5134
2017/9/15,3353.6192,3365.5277,3345.3283,3365.1454
2017/9/14,3371.4256,3391.6435,3361.3335,3383.47
2017/9/13,3384.147,3387.1397,3366.5412,3374.7185
2017/9/12,3379.488,3391.0694,3370.8519,3381.487
2017/9/11,3376.4188,3384.81,3360.0462,3365.3506
2017/9/8,3365.2426,3380.8898,3353.6876,3364.4275
2017/9/7,3365.4974,3387.7956,3363.1765,3383.6281
2017/9/6,3385.3888,3391.0105,3364.7645,3372.4277
2017/9/5,3384.317,3390.8233,3371.5706,3377.1968
2017/9/4,3379.583,3381.4027,3359.1309,3369.7185
2017/9/1,3367.1194,3381.9252,3358.4724,3365.9913
2017/8/31,3360.8103,3367.3581,3340.6865,3361.4621
2017/8/30,3363.6266,3376.6481,3357.0803,3361.8207
2017/8/29,3365.2261,3374.5947,3354.4627,3362.0604
2017/8/28,3362.6514,3375.0339,3336.1264,3336.1264
2017/8/25,3331.5221,3331.9146,3271.4608,3271.4608
2017/8/24,3271.5117,3297.9886,3266.3589,3287.9594
2017/8/23,3287.7049,3299.4572,3274.4404,3283.7966
2017/8/22,3290.2257,3293.476,3274.941,3287.6147
2017/8/21,3286.9055,3287.5186,3270.4753,3274.5805
2017/8/18,3268.7243,3275.0763,3248.0833,3253.2434
2017/8/17,3268.4298,3269.1389,3251.4593,3253.8455
2017/8/16,3246.4512,3248.785,3228.8705,3247.8525
2017/8/15,3251.2617,3263.5892,3235.1013,3235.2298
2017/8/14,3237.3602,3240.0517,3206.0436,3206.0436
2017/8/11,3208.5413,3245.1163,3200.7481,3237.9222
2017/8/10,3261.7494,3282.519,3236.1829,3269.7347
2017/8/9,3275.573,3277.9433,3263.8468,3277.8083
2017/8/8,3281.8728,3285.4833,3269.6582,3277.1887
2017/8/7,3279.4566,3280.1035,3243.7153,3257.67
2017/8/4,3262.0809,3287.1929,3261.3066,3269.3182
2017/8/3,3272.9286,3293.3686,3262.1554,3279.9864
2017/8/2,3285.0568,3305.4313,3282.0377,3288.5183
2017/8/1,3292.6383,3292.6383,3273.5038,3274.3685
2017/7/31,3273.0283,3276.9461,3251.1941,3252.7519
2017/7/28,3253.2404,3256.3706,3232.9634,3240.1728
2017/7/27,3249.7814,3251.9261,3220.6366,3243.765
2017/7/26,3247.6748,3264.8483,3228.0389,3244.4608
2017/7/25,3243.6894,3261.6454,3233.1376,3249.1376
2017/7/24,3250.5989,3261.1046,3230.0705,3230.898
2017/7/21,3237.9817,3247.7122,3231.9556,3236.5881
2017/7/20,3244.8647,3246.236,3225.4328,3227.5056
2017/7/19,3230.9762,3232.9408,3179.73,3181.4015
2017/7/18,3187.5672,3187.671,3150.1284,3159.7318
2017/7/17,3176.4648,3230.354,3139.5035,3219.7914
2017/7/14,3222.4168,3222.9784,3204.8529,3212.0316
2017/7/13,3218.1632,3219.2683,3190.3393,3192.3615
2017/7/12,3197.5439,3215.1962,3177.9346,3201.9292
2017/7/11,3203.0375,3226.908,3199.2235,3201.5169
2017/7/10,3212.6319,3223.3402,3203.2089,3208.4627
2017/7/7,3217.9567,3219.5232,3195.2905,3203.8225
2017/7/6,3212.444,3215.95,3188.7733,3203.8631
2017/7/5,3207.1342,3207.3095,3174.7081,3179.2169
2017/7/4,3182.8039,3193.0644,3174.314,3192.8885
2017/7/3,3195.9116,3196.2861,3177.0244,3191.9982
2017/6/30,3192.4269,3193.2411,3171.5703,3176.9481
2017/6/29,3188.0625,3188.7741,3174.2835,3174.9811
2017/6/28,3173.2014,3193.4397,3170.7859,3183.6334
2017/6/27,3191.1969,3193.4613,3172.463,3183.4198
2017/6/26,3185.4439,3187.8891,3156.9767,3157.0022
2017/6/23,3157.873,3158.0474,3118.0946,3138.4441
2017/6/22,3147.4532,3186.9823,3146.6432,3152.2424
2017/6/21,3156.2118,3157.0275,3132.6173,3148.9861
2017/6/20,3140.0136,3150.4646,3134.6106,3148.0187
2017/6/19,3144.3739,3146.7703,3121.7787,3122.1578
2017/6/16,3123.1662,3134.2511,3117.8567,3126.3728
2017/6/15,3132.4863,3137.5854,3117.084,3125.5865
2017/6/14,3130.674,3149.1731,3125.3546,3146.748
2017/6/13,3153.7429,3155.9895,3131.0431,3134.0089
2017/6/12,3139.8766,3164.9502,3135.314,3149.5266
2017/6/9,3158.4004,3165.9197,3146.1075,3147.4533
2017/6/8,3150.3336,3153.2635,3132.8278,3136.4705
2017/6/7,3140.3249,3140.7743,3098.9508,3101.7608
2017/6/6,3102.126,3102.8633,3078.7872,3084.5401
2017/6/5,3091.6561,3105.5056,3084.8301,3102.1095
2017/6/2,3105.54,3110.3891,3081.8485,3094.2253
2017/6/1,3102.6232,3113.5212,3097.6794,3108.4214
2017/5/31,3117.1778,3143.2787,3111.5563,3125.3252
2017/5/26,3110.0587,3120.6627,3100.3877,3101.2864
2017/5/25,3107.8311,3114.6578,3052.8309,3055.3425
2017/5/24,3064.0759,3064.8127,3022.3026,3047.5681
2017/5/23,3061.947,3084.2352,3050.8423,3069.3935
2017/5/22,3075.6756,3103.9375,3063.1529,3087.1705
2017/5/19,3090.6309,3095.4826,3081.278,3086.7054
2017/5/18,3090.139,3103.4413,3077.9631,3082.3288
2017/5/17,3104.4415,3119.5816,3101.2953,3107.802
2017/5/16,3112.9642,3113.5116,3060.5344,3082.8717
2017/5/15,3090.2289,3098.9125,3085.9319,3085.9319
2017/5/12,3083.5132,3090.4914,3051.8713,3054.1123
2017/5/11,3061.5003,3063.5637,3016.5305,3036.7891
2017/5/10,3052.785,3090.8191,3051.5896,3078.1728
2017/5/9,3080.5269,3084.2077,3056.558,3064.8484
2017/5/8,3078.6129,3093.4516,3067.6943,3090.0652
2017/5/5,3103.0378,3117.6141,3092.0918,3114.7735
2017/5/4,3127.3687,3143.8179,3111.3912,3127.1058
2017/5/3,3135.346,3148.2857,3123.7509,3138.3068
2017/5/2,3143.7121,3154.7812,3136.5391,3147.2275
2017/4/28,3154.6584,3154.7266,3136.5781,3144.0219
2017/4/27,3152.1869,3155.0033,3097.3334,3131.3496
2017/4/26,3140.8471,3152.9534,3131.418,3132.9181
2017/4/25,3134.5674,3145.2672,3117.4488,3123.8943
2017/4/24,3129.5312,3164.2479,3111.2145,3164.2479
2017/4/21,3173.1512,3180.7944,3158.6286,3170.2899
2017/4/20,3172.1003,3178.1826,3148.1844,3165.665
2017/4/19,3170.6867,3189.4368,3147.0655,3184.666
2017/4/18,3196.7133,3225.0546,3196.4884,3215.3963
2017/4/17,3222.1673,3229.9491,3199.9121,3229.9491
2017/4/14,3246.0668,3276.7112,3238.8959,3276.1381
2017/4/13,3275.9603,3281.1369,3261.4901,3265.2181
2017/4/12,3273.8301,3284.9338,3262.2773,3283.8369
2017/4/11,3288.9657,3290.3887,3244.4047,3266.2219
2017/4/10,3269.3926,3285.4594,3265.0121,3285.4594
2017/4/7,3286.616,3295.187,3275.0507,3280.6239
2017/4/6,3281.0047,3286.6739,3265.7645,3272.1926
2017/4/5,3270.3054,3270.6453,3233.2367,3235.6603
2017/3/31,3222.5142,3226.2483,3205.5365,3206.2529
2017/3/30,3210.2369,3240.0174,3195.8524,3235.1369
2017/3/29,3241.3144,3262.0976,3233.2795,3252.8653
2017/3/28,3252.9479,3265.6344,3246.0861,3265.6344
2017/3/27,3266.9552,3283.2393,3262.1184,3268.924
2017/3/24,3269.4451,3275.2066,3241.1233,3247.3495
2017/3/23,3248.5495,3262.0914,3221.9344,3245.8078
2017/3/22,3245.2198,3255.7779,3229.1283,3246.2233
2017/3/21,3261.6108,3262.2209,3246.6959,3250.2473
2017/3/20,3250.8082,3251.1271,3228.1177,3241.1101
2017/3/17,3237.4471,3274.1903,3232.2806,3271.8665
2017/3/16,3268.9354,3269.77,3247.1628,3247.1628
2017/3/15,3241.7597,3243.713,3227.7377,3235.403
2017/3/14,3239.3278,3246.3285,3231.5209,3235.2515
2017/3/13,3237.0244,3237.1212,3193.1565,3209.4492
2017/3/10,3212.7601,3222.3189,3208.4472,3213.7294
2017/3/9,3216.7457,3233.8749,3205.2794,3233.7007
2017/3/8,3240.6646,3245.3043,3230.6083,3240.5323
2017/3/7,3242.4063,3242.6591,3226.8219,3233.0939
2017/3/6,3233.8657,3234.6626,3215.067,3217.3345
2017/3/3,3218.3118,3221.1553,3206.6127,3219.2019
2017/3/2,3230.0281,3256.8074,3228.6647,3250.5183
2017/3/1,3246.9335,3259.9781,3237.8714,3240.0726
2017/2/28,3241.7331,3242.679,3225.9689,3225.9689
2017/2/27,3228.6602,3251.6543,3224.0884,3249.1945
2017/2/24,3253.4327,3253.9556,3233.5348,3246.8603
2017/2/23,3251.375,3264.0819,3236.3549,3258.8319
2017/2/22,3261.2184,3261.3808,3243.8398,3252.6898
2017/2/21,3253.3257,3254.3355,3239.8775,3242.2226
2017/2/20,3239.9613,3241.458,3198.9633,3198.9633
2017/2/17,3202.0756,3238.3959,3199.4248,3227.7073
2017/2/16,3229.6184,3230.2754,3207.7852,3210.3567
2017/2/15,3212.9857,3235.9977,3206.5606,3215.4639
2017/2/14,3217.928,3219.4047,3205.2853,3216.137
2017/2/13,3216.8394,3219.4072,3198.9946,3198.9946
2017/2/10,3196.699,3205.049,3182.8021,3183.0069
2017/2/9,3183.1794,3186.838,3162.5744,3164.6875
2017/2/8,3166.9818,3167.4465,3132.0333,3148.086
2017/2/7,3153.0878,3159.544,3140.0356,3154.4046
2017/2/6,3156.9838,3158.8433,3135.3869,3143.0931
2017/2/3,3140.17,3162.6771,3136.013,3160.0816
2017/1/26,3159.166,3163.1041,3148.9083,3149.2167
2017/1/25,3149.5547,3151.4723,3133.1911,3137.6462
2017/1/24,3142.5533,3149.5312,3131.2181,3134.5921
2017/1/23,3136.7748,3145.8411,3125.4209,3125.4209
2017/1/20,3123.1389,3125.6599,3095.2147,3095.8185
2017/1/19,3101.2992,3115.7778,3094.0055,3104.9715
2017/1/18,3113.0123,3123.7203,3098.5864,3104.7664
2017/1/17,3108.7746,3108.9072,3072.3384,3087.0295
2017/1/16,3103.428,3105.1423,3044.2912,3104.4924
2017/1/13,3112.7644,3130.5146,3102.1628,3116.0827
2017/1/12,3119.2886,3144.9699,3115.9787,3133.6015
2017/1/11,3136.7535,3167.0288,3136.2667,3156.6856
2017/1/10,3161.6713,3174.5781,3157.3322,3167.5701
2017/1/9,3171.2362,3173.136,3147.7351,3148.5317
2017/1/6,3154.321,3172.0347,3153.0253,3163.7761
2017/1/5,3165.4109,3168.5021,3154.281,3157.9063
2017/1/4,3158.794,3160.1029,3130.1145,3133.7873
2017/1/3,3135.9208,3136.4558,3105.3085,3105.3085
2016/12/30,3103.6373,3108.8393,3089.9894,3097.3454
2016/12/29,3096.0968,3111.7994,3087.344,3095.8447
2016/12/28,3102.2357,3118.7818,3094.5488,3113.7671
2016/12/27,3114.664,3127.8828,3113.7451,3117.3868
2016/12/26,3122.569,3122.8812,3068.415,3095.5787
2016/12/23,3110.1544,3138.404,3103.7476,3134.9292
2016/12/22,3139.558,3143.1685,3126.8872,3132.1558
2016/12/21,3137.4297,3140.2512,3107.2396,3107.2396
2016/12/20,3102.8759,3117.0145,3084.7997,3115.8984
2016/12/19,3118.0846,3125.284,3110.0817,3120.6963
2016/12/16,3122.9815,3128.8735,3106.3464,3111.5145
2016/12/15,3117.677,3138.7793,3100.9128,3125.7568
2016/12/14,3140.5308,3170.0208,3136.348,3149.3774
2016/12/13,3155.0374,3162.496,3118.7121,3138.9881
2016/12/12,3152.9704,3245.0946,3149.8955,3233.6661
2016/12/9,3232.8834,3244.8013,3207.0433,3209.3395
2016/12/8,3215.3658,3228.122,3211.4712,3225.5499
2016/12/7,3222.2415,3222.428,3189.485,3198.4748
2016/12/6,3199.6473,3215.3114,3196.5248,3202.0293
2016/12/5,3204.7092,3219.5181,3194.8785,3203.7844
2016/12/2,3243.8432,3279.7137,3235.277,3270.1205
2016/12/1,3273.3093,3279.6707,3256.2555,3257.0268
2016/11/30,3250.0344,3277.2694,3239.5206,3272.1422
2016/11/29,3282.9238,3301.2133,3263.3973,3269.2339
2016/11/28,3276.9996,3288.3372,3267.6736,3270.0471
2016/11/25,3261.9378,3262.4379,3209.5979,3241.2433
2016/11/24,3241.7359,3257.8574,3232.869,3237.428
2016/11/23,3241.1366,3262.8788,3231.5863,3247.9448
2016/11/22,3248.3517,3249.6765,3220.9825,3220.9825
2016/11/21,3218.1477,3229.7568,3188.2799,3188.4964
2016/11/18,3192.8559,3212.394,3187.4963,3207.1933
2016/11/17,3208.4525,3211.0527,3187.2056,3198.4985
2016/11/16,3205.0572,3210.8927,3195.4105,3208.4973
2016/11/15,3206.9858,3214.292,3195.0353,3209.9546
2016/11/14,3210.371,3221.4584,3186.7956,3187.7093
2016/11/11,3196.0436,3202.7401,3166.0696,3169.4007
2016/11/10,3171.282,3172.3085,3148.544,3148.544
2016/11/9,3128.3702,3146.9497,3096.9466,3146.0775
2016/11/8,3147.8875,3156.8812,3134.9547,3140.9435
2016/11/7,3133.3326,3139.2017,3117.0961,3124.892
2016/11/4,3125.3167,3141.3337,3119.5354,3126.3489
2016/11/3,3128.9356,3140.9298,3094.1025,3096.765
2016/11/2,3102.7326,3118.9773,3099.8196,3115.7291
2016/11/1,3122.4356,3122.6147,3097.0423,3101.6639
2016/10/31,3100.492,3102.3015,3081.0722,3097.1881
2016/10/28,3104.2703,3128.6427,3101.2371,3111.7035
2016/10/27,3112.3498,3114.7587,3100.3918,3112.6028
2016/10/26,3116.3119,3129.8382,3110.3874,3129.8382
2016/10/25,3131.9385,3132.5046,3121.0499,3127.9684
2016/10/24,3128.2467,3137.0335,3090.7864,3092.0466
2016/10/21,3090.9412,3101.8486,3069.2669,3081.3891
2016/10/20,3084.4577,3089.682,3076.2949,3084.9076
2016/10/19,3084.7189,3096.2228,3076.7705,3085.749
2016/10/18,3083.8751,3084.1867,3037.4036,3037.4036
2016/10/17,3041.1663,3068.812,3033.7532,3064.691
2016/10/14,3063.8086,3064.7895,3043.1841,3056.9927
2016/10/13,3061.3458,3064.9989,3052.6403,3057.9724
2016/10/12,3058.4981,3060.5142,3048.8881,3057.3163
2016/10/11,3065.2497,3066.104,3048.0175,3051.6216
2016/10/10,3048.1428,3048.2358,3014.6198,3020.4566
2016/9/30,3004.703,3009.1953,2993.0617,2994.2507
2016/9/29,2998.4827,3009.1984,2991.9088,2992.1683
2016/9/28,2987.8576,3000.6954,2984.3206,3000.6954
2016/9/27,2998.1723,2998.2333,2969.1321,2974.593
2016/9/26,2980.4295,3028.2428,2980.1169,3028.2428
2016/9/23,3033.8956,3046.8047,3032.8023,3044.7858
2016/9/22,3042.3132,3054.4351,3035.0703,3038.422
2016/9/21,3025.8736,3032.4503,3017.5408,3021.5762
2016/9/20,3022.9995,3027.8165,3015.8804,3027.1717
2016/9/19,3026.0513,3026.6512,3005.3228,3005.3228
2016/9/14,3002.8486,3017.9447,2995.4156,3008.9044
2016/9/13,3023.5095,3029.7208,3008.7405,3025.0345
2016/9/12,3021.9771,3040.9522,2999.9288,3037.5073
2016/9/9,3078.8548,3101.7922,3078.2183,3095.4269
2016/9/8,3095.9543,3096.7832,3083.9015,3089.9529
2016/9/7,3091.9281,3105.6775,3087.8794,3091.3287
2016/9/6,3090.7127,3095.5092,3053.1868,3071.0554
2016/9/5,3072.0953,3085.4853,3065.329,3070.707
2016/9/2,3067.352,3072.5258,3050.4924,3057.4945
2016/9/1,3063.3054,3088.7043,3062.8763,3083.9606
2016/8/31,3085.491,3087.6977,3063.3963,3072.9164
2016/8/30,3074.6768,3082.9879,3065.9713,3071.4404
2016/8/29,3070.0273,3074.9433,3058.7853,3068.4602
2016/8/26,3070.3088,3087.6522,3063.894,3069.8504
2016/8/25,3068.3294,3073.4441,3041.5053,3073.4441
2016/8/24,3085.8804,3097.1483,3079.5478,3092.0197
2016/8/23,3089.7055,3101.1095,3073.5292,3081.5717
2016/8/22,3084.8051,3112.7395,3083.5932,3107.3812
2016/8/19,3108.102,3113.3438,3082.771,3100.3912
2016/8/18,3104.1138,3125.5812,3093.3171,3107.7527
2016/8/17,3109.5549,3114.2545,3090.2811,3106.9911
2016/8/16,3110.0369,3140.4408,3102.0653,3130.5333
2016/8/15,3125.1952,3137.4763,3053.8705,3056.4835
2016/8/12,3050.6674,3051.0541,2999.039,3000.2731
2016/8/11,3002.6376,3038.0478,3001.1681,3013.6776
2016/8/10,3018.7459,3033.1964,3017.0903,3023.4724
2016/8/9,3025.6805,3025.9108,2998.6766,3001.3063
2016/8/8,3004.2767,3004.7182,2959.0477,2972.6248
2016/8/5,2976.6962,2991.6767,2971.5638,2978.7776
2016/8/4,2982.4261,2982.8601,2958.9332,2976.4096
2016/8/3,2978.4608,2981.1555,2956.7856,2963.2145
2016/8/2,2971.2787,2971.2787,2946.6365,2950.0796
2016/8/1,2953.3854,2972.8751,2931.9633,2971.9491
2016/7/29,2979.3388,3000.0546,2972.9166,2992.5355
2016/7/28,2994.3234,3003.3631,2968.182,2980.5012
2016/7/27,2991.9991,3057.4237,2939.2273,3050.3675
2016/7/26,3050.1661,3050.6145,3013.8021,3014.0397
2016/7/25,3015.8278,3027.1228,3003.2921,3008.0937
2016/7/22,3012.8157,3039.27,3007.4567,3038.1182
2016/7/21,3039.0091,3053.3336,3027.3676,3027.6042
2016/7/20,3027.8995,3042.997,3022.6309,3034.7139
2016/7/19,3036.5979,3043.5999,3014.2889,3040.2257
2016/7/18,3043.5643,3058.3214,3031.6388,3047.6373
2016/7/15,3054.296,3062.6832,3044.5375,3056.6817
2016/7/14,3054.0182,3057.0458,3036.5234,3054.9748
2016/7/13,3060.6893,3069.0469,3048.1991,3049.5128
2016/7/12,3049.381,3049.6814,2984.4205,2992.5195
2016/7/11,2994.9167,3022.9439,2990.9071,2993.7489
2016/7/8,2988.0939,3001.5506,2983.881,3000.3263
2016/7/7,3016.8467,3024.1087,2994.6426,3009.3533
2016/7/6,3017.2924,3017.6523,2984.8278,2998.5207
2016/7/5,3006.3919,3010.275,2990.6416,2991.7524
2016/7/4,2988.604,2992.4978,2922.5196,2924.293
2016/7/1,2932.4758,2944.9894,2925.8101,2931.8016
2016/6/30,2929.6057,2938.1374,2922.3124,2931.4805
2016/6/29,2931.5923,2933.9974,2915.0618,2918.5337
2016/6/28,2912.5574,2913.5817,2878.8243,2885.0112
2016/6/27,2895.7033,2895.731,2840.2765,2840.5585
2016/6/24,2854.2864,2899.5689,2807.5976,2883.759
2016/6/23,2891.9602,2904.1115,2878.661,2902.3979
2016/6/22,2905.5495,2905.978,2869.5133,2872.7337
2016/6/21,2878.5575,2919.302,2869.1759,2898.3837
2016/6/20,2888.8091,2891.6583,2864.0199,2887.6358
2016/6/17,2885.105,2900.2993,2872.1845,2873.0089
2016/6/16,2872.8166,2887.7426,2865.3878,2878.4023
2016/6/15,2887.2101,2894.2639,2811.7808,2814.6931
2016/6/14,2842.1886,2843.4558,2822.0609,2824.2285
2016/6/13,2833.0707,2911.1582,2832.5072,2897.2731
2016/6/8,2927.159,2937.9863,2908.3666,2932.3761
2016/6/7,2936.0449,2938.444,2923.502,2936.2821
2016/6/6,2934.0979,2945.9416,2922.2833,2940.9943
2016/6/3,2938.682,2945.5193,2915.185,2929.7881
2016/6/2,2925.2293,2925.6702,2906.5242,2911.2193
2016/6/1,2913.5077,2929.0759,2909.5121,2917.1541
2016/5/31,2916.616,2917.1351,2822.5927,2822.5927
2016/5/30,2822.4509,2830.9697,2794.6608,2814.6507
2016/5/27,2821.046,2832.7994,2809.7992,2817.9684
2016/5/26,2822.4429,2827.0916,2780.7634,2813.5431
2016/5/25,2815.0863,2843.165,2807.7488,2835.0293
2016/5/24,2821.6663,2839.695,2807.1878,2839.6823
2016/5/23,2843.645,2848.0713,2826.2562,2826.3123
2016/5/20,2825.4831,2825.9517,2785.0795,2792.8883
2016/5/19,2806.9061,2829.4023,2801.5475,2802.3147
2016/5/18,2807.5141,2828.2552,2781.4165,2828.178
2016/5/17,2843.6841,2860.3205,2832.4592,2850.9264
2016/5/16,2850.8617,2851.229,2804.9907,2816.7754
2016/5/13,2827.1087,2850.0929,2814.1146,2828.4615
2016/5/12,2835.8618,2839.2763,2781.2362,2812.1083
2016/5/11,2837.0372,2857.2539,2818.6989,2843.5448
2016/5/10,2832.5912,2845.2376,2820.1642,2822.3273
2016/5/9,2832.1125,2896.1623,2821.8261,2896.1623
2016/5/6,2913.2476,3003.5904,2913.0361,2998.4022
2016/5/5,2997.8416,2999.1181,2977.1998,2987.0224
2016/5/4,2991.2721,3004.4184,2978.3295,2983.0266
2016/5/3,2992.6432,2993.5346,2929.8148,2940.3923
2016/4/29,2938.3235,2950.5761,2930.3565,2935.3756
2016/4/28,2945.5886,2959.5123,2916.3744,2955.7421
2016/4/27,2953.6709,2976.0221,2949.4322,2967.1902
2016/4/26,2964.6997,2965.4291,2933.9707,2944.7156
2016/4/25,2946.6704,2954.0921,2917.0202,2949.9727
2016/4/22,2959.24,2960.2089,2926.7759,2933.0349
2016/4/21,2952.8911,2990.6729,2943.464,2954.3703
2016/4/20,2972.5837,3055.689,2905.0485,3050.3805
2016/4/19,3042.8232,3054.5032,3024.8951,3047.1326
2016/4/18,3033.6604,3058.4629,3022.9701,3058.4629
2016/4/15,3078.1166,3089.9509,3066.8721,3085.0263
2016/4/14,3082.3615,3086.6975,3056.9886,3080.09
2016/4/13,3066.6381,3097.1648,3041.3584,3041.3584
2016/4/12,3023.6464,3036.8249,3001.3151,3031.3013
2016/4/11,3033.957,3048.9766,3006.909,3006.909
2016/4/8,2984.9582,2996.1706,2960.46,2988.2
2016/4/7,3008.42,3062.3579,3007.0603,3058.3388
2016/4/6,3050.592,3059.7937,3029.0049,3039.7449
2016/4/5,3053.0654,3057.3297,2993.1476,3000.9382
2016/4/1,3009.5298,3009.6729,2956.247,2997.0883
2016/3/31,3003.9152,3023.4086,2992.9155,3009.3672
2016/3/30,3000.6449,3001.1055,2941.2177,2941.2177
2016/3/29,2919.8318,2962.2029,2905.2513,2956.7052
2016/3/28,2957.82,3008.1675,2948.5259,2988.0104
2016/3/25,2979.4343,2981.4077,2952.1057,2956.1997
2016/3/24,2960.9704,2998.1537,2960.5366,2986.801
2016/3/23,3009.9604,3012.5596,2980.8554,2991.1685
2016/3/22,2999.3628,3019.1008,2988.4256,3001.63
2016/3/21,3018.8017,3028.3215,2973.7575,2978.4554
2016/3/18,2955.1498,2971.5508,2908.7416,2915.5177
2016/3/17,2904.8319,2921.0002,2857.1913,2875.4108
2016/3/16,2870.43,2881.5293,2854.1919,2858.7085
2016/3/15,2864.3684,2865.787,2819.7949,2853.9776
2016/3/14,2859.499,2889.8164,2823.0282,2830.0836
2016/3/11,2810.3074,2815.6074,2772.5512,2781.6004
2016/3/10,2804.7255,2863.1763,2803.4764,2847.567
2016/3/9,2862.556,2863.0147,2811.7175,2839.4112
2016/3/8,2901.387,2902.6212,2802.5628,2895.6664
2016/3/7,2897.3395,2911.8386,2871.3462,2886.6403
2016/3/4,2874.1468,2880.3719,2808.8493,2848.5384
2016/3/3,2859.7582,2878.445,2840.8741,2847.3305
2016/3/2,2849.6811,2852.7001,2732.5388,2733.767
2016/3/1,2733.17,2747.5621,2668.7574,2688.3799
2016/2/29,2687.9788,2755.8898,2638.9631,2754.8137
2016/2/26,2767.2097,2784.7525,2715.8743,2760.0575
2016/2/25,2741.2454,2922.2372,2729.8506,2922.2372
2016/2/24,2928.896,2929.8712,2872.2741,2889.8846
